table_name;data_type;indicator;lau_level;combination_coverage;ks_test_D;ks_test_p;indicator_mean;indicator_mad;APE_mean;APE_mad;ALE_mean;ALE_mad
results_yearly_table;5% Comp1 data;feature_cnt;0;1.0;0.6666666666666666;0.007859014050964517;410588.3333;172107.0;56.8718;17.0977;0.4538;0.2388
results_yearly_table;5% Comp1 data;feature_cnt;1;1.0;0.4;2.9799825828506827e-13;27372.5556;7345.0;59.9508;14.4196;0.482;0.1994
results_yearly_table;5% Comp1 data;feature_cnt;2;0.9646;0.2495751263137986;1.6653345369377348e-15;2812.2489;570.5;71.0035;19.0739;0.5461;0.2327
results_yearly_table;5% Comp1 data;feature_cnt;3;0.412;0.44857566472091237;0.0;93.809;10.0;192.0862;39.2125;0.5575;0.2687
results_yearly_table;5% Comp1 data;unique_usr_cnt;0;1.0;0.6666666666666666;0.007859014050964517;410588.3333;172107.0;56.8718;17.0977;0.4538;0.2388
results_yearly_table;5% Comp1 data;unique_usr_cnt;1;1.0;0.5055555555555555;2.7083089632579874e-21;30677.9056;9049.5;62.3291;14.5487;0.5048;0.2081
results_yearly_table;5% Comp1 data;unique_usr_cnt;2;0.9646;0.2807847666909838;1.6653345369377348e-15;3865.9749;907.5;72.3963;17.0968;0.5612;0.2252
results_yearly_table;5% Comp1 data;unique_usr_cnt;3;0.412;0.49290462675479535;0.0;154.5201;16.0;173.0709;30.7692;0.4312;0.2183
results_yearly_table;5% Comp1 data;location_cnt;0;1.0;0.6666666666666666;0.007859014050964517;849430.5;362602.5;62.138;20.1032;0.5351;0.2951
results_yearly_table;5% Comp1 data;location_cnt;1;1.0;0.4666666666666667;4.475893439636447e-18;56633.0389;11632.0;63.9247;15.8196;0.5346;0.2297
results_yearly_table;5% Comp1 data;location_cnt;2;0.9646;0.2788839804382481;1.6653345369377348e-15;5823.2951;931.5;72.6815;17.316;0.5683;0.2351
results_yearly_table;5% Comp1 data;location_cnt;3;0.412;0.4926950989542658;0.0;194.5403;16.0;173.1763;30.5344;0.432;0.2183
results_yearly_table;5% Comp2 data;feature_cnt;0;1.0;0.5;0.09954677170991616;410588.3333;172107.0;49.6841;25.6027;0.207;0.1316
results_yearly_table;5% Comp2 data;feature_cnt;1;1.0;0.15;0.034706585650220244;27372.5556;7345.0;59.4181;28.174;0.2439;0.1517
results_yearly_table;5% Comp2 data;feature_cnt;2;0.9852;0.039837272549299724;0.12189453129539962;2812.2489;570.5;81.8968;31.707;0.3101;0.1781
results_yearly_table;5% Comp2 data;feature_cnt;3;0.5886;0.42781778552236127;0.0;93.809;10.0;220.9299;58.8235;0.5217;0.2607
results_yearly_table;5% Comp2 data;unique_usr_cnt;0;1.0;0.5;0.09954677170991616;410588.3333;172107.0;49.6841;25.6027;0.207;0.1316
results_yearly_table;5% Comp2 data;unique_usr_cnt;1;1.0;0.10555555555555556;0.2690379194055692;30677.9056;9049.5;68.1651;27.2433;0.2567;0.135
results_yearly_table;5% Comp2 data;unique_usr_cnt;2;0.9852;0.03239800102647132;0.3114452388390293;3865.9749;907.5;121.6245;38.0106;0.3662;0.2262
results_yearly_table;5% Comp2 data;unique_usr_cnt;3;0.5886;0.49290462675479535;0.0;154.5201;16.0;316.4704;57.0115;0.4371;0.2249
results_yearly_table;5% Comp2 data;location_cnt;0;1.0;0.16666666666666666;0.9984852944874484;849430.5;362602.5;137.0728;44.5843;0.3822;0.2078
results_yearly_table;5% Comp2 data;location_cnt;1;1.0;0.10555555555555556;0.2690379194055692;56633.0389;11632.0;103.1468;41.0472;0.329;0.2189
results_yearly_table;5% Comp2 data;location_cnt;2;0.9852;0.028299390995624268;0.4769086743123233;5823.2951;931.5;130.2096;39.1244;0.3796;0.235
